movie_display_name,$_total_box_office,movie_financial_summary_domestic_box_office,movie_financial_summary_international_box_office,$_domestic_DVD_sales,movie_financial_summary_production_budget
What Lies Beneath,288600000,155370362,133229638,,90000000
The Bourne Supremacy,288587450,176087450,112500000,,85000000
Fantastic Four: Rise of the Silver Surfer,288215319,131921738,156293581,67661302,120000000
Oblivion,287916633,89107235,198809398,14483683,120000000
Bee Movie,287594577,126631277,160963300,91242075,150000000
Turbo,286896578,83028130,203868448,43087257,135000000
Pitch Perfect 2,286654563,183785415,102869148,11165709,29000000
American Pie 2,286500000,145096820,141403180,,30000000
The Sound of Music,286214286,163214286,123000000,,8200000
Elysium,286192091,93050117,193141974,16050868,120000000
Lethal Weapon 4,284690200,129734803,154955397,,140000000
The Wedding Crashers,283218368,209218368,74000000,,40000000
John Carter,282778100,73058679,209719421,23443423,275000000
Saturday Night Fever,282400000,139486124,142913876,,00000
Speed,282312677,120360822,161951855,,30000000
Casper,282209181,100237375,181971806,,55000000
Bridget Jones's Diary,281527158,71500556,210026602,,25000000
Coming to America,281442024,120794325,160647699,,00000
The Bourne Legacy,280355920,113203870,167152050,30077731,125000000
Shakespeare in Love,279423528,100241322,179182206,,26000000
The Tourist,278731369,67631157,211100212,19454013,100000000
Scary Movie,277200000,157019771,120180229,,19000000
Scooby-Doo,276294164,153294164,123000000,,84000000
Divergent,276014965,150947895,125067070,34076053,85000000
Beverly Hills Cop II,275932902,152932902,123000000,,20000000
Sen to Chihiro no Kamikakushi,274949886,10049886,264900000,,19000000
Gran Torino,274543085,148095302,126447783,67240752,25000000
High School Musical 3: Senior Year,274392880,90559416,183833464,60957206,11000000
Cloudy with a Chance of Meatballs 2,274392649,119793567,154599082,21534938,78000000
The Nutty Professor,273769345,128769345,145000000,,55000000
Jerry Maguire,273668230,153620822,120047408,,50000000
Lincoln,273346281,182207973,91138308,22651837,65000000
Lara Croft: Tomb Raider,273330185,131144183,142186002,,94000000
Bad Boys II,272940870,138540870,134400000,,130000000
Grown Ups,272223430,162001186,110222244,49254010,75000000
The Princess and the Frog,270997378,104400899,166596479,95666237,105000000
Neighbors,270594534,150086800,120507734,16871923,18000000
The Firm,270340892,158340892,112000000,,42000000
Mr. Peabody & Sherman,269806430,111506430,158300000,18972993,145000000
The Silence of the Lambs,269507594,124507594,145000000,,20000000
"10,000 B.C.",269065678,94784201,174281477,27300295,105000000
The Godfather,268355541,134821952,133533589,,7000000
Exodus: Gods and Kings,268314513,65014513,203300000,6887306,140000000
The Expendables,268268174,103068524,165199650,49030709,82000000
Bambi,268000000,102797000,165203000,,00000
American Gangster,267985456,130164645,137820811,79574694,100000000
We're the Millers,267816276,150394119,117422157,32041734,37000000
xXx,266985000,141715000,125270000,,70000000
Batman Returns,266824291,162833635,103990656,,80000000
Something's Gotta Give,266685242,124685242,142000000,,80000000
Waterworld,264214660,88214660,176000000,,175000000
The Truman Show,263966701,125466701,138500000,,60000000
Bridget Jones: The Edge Of Reason,263894551,40203020,223691531,,50000000
Real Steel,263880341,85463309,178417032,29755032,110000000
The Fifth Element,263869158,63540020,200329138,,95000000
Cinderella,263591415,85000000,178591415,,2900000
The Incredible Hulk,263144885,134533885,128611000,67810986,137500000
Epic,262794441,107518682,155275759,31794583,100000000
Jumanji,262409938,100109938,162300000,,65000000
Borat,261443242,128505958,132937284,62696374,18000000
Indecent Proposal,261254196,101268255,159985941,,00000
Robots,260700012,128200012,132500000,,80000000
The Lone Ranger,259989910,89289910,170700000,25017221,275000000
Charlie's Angels,259736090,125305545,134430545,,90000000
Paddington,259541430,76223578,183317852,9388308,55000000
Knight and Day,258751370,76423035,182328335,22676939,117000000
Out of Africa,258210860,79096868,179113992,,31000000
Super 8,257972745,127004179,130968566,20649526,50000000
American Hustle,257878294,150117807,107760487,9008031,40000000
The Full Monty,257845980,45857453,211988527,,3500000
Erin Brockovich,257805243,125548685,132256558,,50000000
The Village,257641634,114197520,143444114,,71682975
Rush Hour 3,256585882,140125968,116459914,44482476,180000000
Bean,256538615,45298656,211239959,,00000
Cliffhanger,255000000,84049211,170950789,,65000000
Gang jiong,254972149,1302281,253669868,,00000
Wild Hogs,253555383,168213584,85341799,92888939,60000000
Michael Jackson's This Is It,252091016,72091016,180000000,49909865,60000000
